sku;urun_adi;kategori_kodu;kategori_adi;alt_tip;agirlik_gr;boyut_beden;materyal;koli_ici;fotograf_dosya;aktif;notlar
FB-TOP-001;Futbol Topu;FB;FB - Futbol Topları;Standart;240;No.5;Suni Deri;100;FB-TOP-001.jpg;Evet;
FB-TOP-002;Futbol Topu;FB;FB - Futbol Topları;Standart;270;No.5;Suni Deri;100;FB-TOP-002.jpg;Evet;
FB-TOP-003;Futbol Topu;FB;FB - Futbol Topları;Standart;300;No.5;PU Deri;100;FB-TOP-003.jpg;Evet;
FB-TOP-004;Futbol Topu Parlak;FB;FB - Futbol Topları;Parlak;350;No.5;PU Deri;60;FB-TOP-004.jpg;Evet;
FB-TOP-005;Futbol Topu Soft;FB;FB - Futbol Topları;Soft;350;No.5;Soft Deri;60;FB-TOP-005.jpg;Evet;
FB-TOP-006;Futbol Topu 4 Astar;FB;FB - Futbol Topları;4 Astar;440;No.5;PU Deri;60;FB-TOP-006.jpg;Evet;
FB-TOP-007;Futbol Topu Prime;FB;FB - Futbol Topları;Prime;440;No.5;PU Deri;50;FB-TOP-007.jpg;Evet;Yeni modeller FB-TOP-007-01 vb. eklenecek
FB-TOP-008;Futbol Topu Yapıştırma;FB;FB - Futbol Topları;Yapıştırma;440;No.5;PU Deri;50;FB-TOP-008.jpg;Evet;
VB-TOP-001;Voleybol Topu;VB;VB - Voleybol Topları;Standart;270;No.5;Suni Deri;100;VB-TOP-001.jpg;Evet;
VB-TOP-002;Voleybol Topu Soft;VB;VB - Voleybol Topları;Soft;270;No.5;Soft Deri;100;VB-TOP-002.jpg;Evet;
VB-TOP-003;Voleybol Topu Soft Model 2;VB;VB - Voleybol Topları;Soft;270;No.5;Soft Deri;100;VB-TOP-003.jpg;Evet;
VB-TOP-004;Voleybol Topu Yapıştırma;VB;VB - Voleybol Topları;Yapıştırma;420;No.5;PU Deri;50;VB-TOP-004.jpg;Evet;
VB-TOP-005;Voleybol Elliği;VB;VB - Voleybol Topları;Aksesuar;;;;;VB-TOP-005.jpg;Evet;
VB-TOP-006;Voleybol Dizliği;VB;VB - Voleybol Topları;Aksesuar;;;;;VB-TOP-006.jpg;Evet;
BK-TOP-001;Basketbol Topu No.3;BK;BK - Basketbol Topları;Standart;290;No.3;Kauçuk;80;BK-TOP-001.jpg;Evet;
BK-TOP-002;Basketbol Topu No.5;BK;BK - Basketbol Topları;Standart;400;No.5;Kauçuk;60;BK-TOP-002.jpg;Evet;
BK-TOP-003;Basketbol Topu No.7;BK;BK - Basketbol Topları;Standart;500;No.7;Kauçuk;50;BK-TOP-003.jpg;Evet;
BK-TOP-004;Basketbol Topu Renkli;BK;BK - Basketbol Topları;Renkli;500;No.7;Kauçuk;50;BK-TOP-004.jpg;Evet;Çoklu renk seçeneği
BK-POT-001;Basketbol Potası Küçük;BK;BK - Basketbol Topları;Pota;;;;;BK-POT-001.jpg;Evet;Duvara monte
BK-POT-002;Basketbol Potası Büyük;BK;BK - Basketbol Topları;Pota;;;;;BK-POT-002.jpg;Evet;Duvara monte
BK-POT-003;Basketbol Potası Küçük Ayaklı;BK;BK - Basketbol Topları;Pota Ayaklı;;;;;BK-POT-003.jpg;Evet;
BK-POT-004;Basketbol Potası Büyük Ayaklı;BK;BK - Basketbol Topları;Pota Ayaklı;;;;;BK-POT-004.jpg;Evet;
BK-POT-005;Basketbol Potası Dev;BK;BK - Basketbol Topları;Pota;;;;;BK-POT-005.jpg;Evet;
BK-POT-006;Basketbol Potası 3 Toplu Büyük;BK;BK - Basketbol Topları;Pota;;;;;BK-POT-006.jpg;Evet;3 top dahil
HT-TOP-001;Hentbol Topu Parlak;HT;HT - Hentbol Topları;Parlak;;No.2;;;HT-TOP-001.jpg;Evet;
HT-TOP-002;Hentbol Topu Soft;HT;HT - Hentbol Topları;Soft;;No.2;;;HT-TOP-002.jpg;Evet;
PL-TOP-001;Plastik Top Beach Volley;PL;PL - Plastik Toplar;70gr - 21cm;70;21 cm;PVC;500;PL-TOP-001.jpg;Evet;
PL-TOP-002;Plastik Top Spiderman;PL;PL - Plastik Toplar;70gr - 21cm;70;21 cm;PVC;500;PL-TOP-002.jpg;Evet;
PL-TOP-003;Plastik Top Benekli;PL;PL - Plastik Toplar;70gr - 21cm;70;21 cm;PVC;500;PL-TOP-003.jpg;Evet;
PL-TOP-004;Plastik Top Yıldızlı;PL;PL - Plastik Toplar;70gr - 21cm;70;21 cm;PVC;500;PL-TOP-004.jpg;Evet;
PL-TOP-005;Mini Plastik Top No.1;PL;PL - Plastik Toplar;Mini Top;;No.1;PVC;450;PL-TOP-005.jpg;Evet;
PL-TOP-006;Mini Plastik Top No.2;PL;PL - Plastik Toplar;Mini Top;;No.2;PVC;450;PL-TOP-006.jpg;Evet;
PL-TOP-007;Mini Plastik Top No.3;PL;PL - Plastik Toplar;Mini Top;;No.3;PVC;450;PL-TOP-007.jpg;Evet;
PL-TOP-008;Mini Plastik Top No.4;PL;PL - Plastik Toplar;Mini Top;;No.4;PVC;450;PL-TOP-008.jpg;Evet;
PL-TOP-009;Mini Basketbol Desenli Plastik Top;PL;PL - Plastik Toplar;Mini Top;50;8-10 cm;PVC;450;PL-TOP-009.jpg;Evet;
PL-TOP-010;Plastik Futbol Topu;PL;PL - Plastik Toplar;200gr - 22cm;200;22 cm;PVC;120;PL-TOP-010.jpg;Evet;
PL-TOP-011;Lamba Topu;PL;PL - Plastik Toplar;Özel;;;PVC;;PL-TOP-011.jpg;Evet;
PL-TOP-012;Boks Topu;PL;PL - Plastik Toplar;Özel;;;PVC;;PL-TOP-012.jpg;Evet;
PL-TOP-013;Dikenli Masaj Topu;PL;PL - Plastik Toplar;Dikenli;90;;PVC;;PL-TOP-013.jpg;Evet;8 farklı renk/model
PL-TOP-014;Plastik Top Gökkuşağı;PL;PL - Plastik Toplar;90gr - 22cm;90;22 cm;PVC;400;PL-TOP-014.jpg;Evet;
PL-TOP-015;Mini Gökkuşağı Top;PL;PL - Plastik Toplar;Mini Top;;;PVC;;PL-TOP-015.jpg;Evet;
PL-TOP-016;Ay Topu;PL;PL - Plastik Toplar;Özel;;;PVC;;PL-TOP-016.jpg;Evet;
PL-TOP-017;Havuz Topu;PL;PL - Plastik Toplar;Özel;;7 cm;PVC;;PL-TOP-017.jpg;Evet;
